12/11/2024                                                                                                                                                                               Dynamic List Display                                                                                                                                                                                       1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTL Direct Material Stock Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Material,Material,Customer,Material description,Size,Unit/Strip,Plant,SLOC,Batch,Revision,Shipment Date,Shipment,Ship No.,Vendor Batch,Manu.Date,Shlf.Date,GR.Date,Vendor,Vendor Name,QI.Qty.,Unres.Qty.,Reserve Qty.,Available Qty.,Block Qty., Total,Remark,Manufacturer
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,120,DR03,12398613,,12/06/2024,196772014/09,061224196772014/09,1B4LAA8244,11/15/2024,11/15/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,926,0,926,0,926,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,140,DA02,12398875,,12/06/2024,196772015/01 (10C),061224196772015/01 (10C),1B4LAB8245,11/15/2024,11/15/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,703,0,703,0,703,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,140,DA03,12398886,,12/06/2024,196772015/02 (10C),061224196772015/02 (10C),1B4LAA8246,11/20/2024,11/20/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,921,0,921,0,921,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,140,DA02,12398896,,12/06/2024,196772015/03 (10C),061224196772015/03 (10C),1B4LAA8247,11/20/2024,11/20/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,923,0,923,0,923,,-
,PZ0035-UTL,PZ0035,UTL,ABLEBOND RP-801-2B (8600),8600 ( RP-801-2B ),,140,DA03,12398908,,12/06/2024,196772015/04 (10C),061224196772015/04 (10C),1B4LAA8680,11/20/2024,11/20/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,453,0,453,0,453,,-
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,140,RP55,10238734,,06/01/2022,92515960/04 6OZ,01062292515960/04 6OZ,O72EAA1054,05/14/2022,05/14/2023,06/02/2022,20012,HENKEL KOREA LTD.,0,0,0,0,10,10,,-
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,140,RP55,10238735,,06/01/2022,92515960/05,01062292515960/05,O72EAA1055,05/21/2022,05/21/2023,06/02/2022,20012,HENKEL KOREA LTD.,0,0,0,0,3,3,,-
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,140,RP55,10279126,,06/14/2022,92526404/05 6OZ,14062292526404/05 6OZ,O72EAA8866,05/26/2022,05/26/2023,06/15/2022,20012,HENKEL KOREA LTD.,0,0,0,0,7,7,,-
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,140,RP55,10279133,,06/14/2022,92526404/06 6OZ,14062292526404/06 6OZ,O72EAA8867,05/26/2022,05/26/2023,06/15/2022,20012,HENKEL KOREA LTD.,0,0,0,0,22,22,,-
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,140,RP55,10279144,,06/14/2022,92526404/07 6OZ,14062292526404/07 6OZ,O72EAA8868,05/26/2022,05/26/2023,06/15/2022,20012,HENKEL KOREA LTD.,0,0,0,0,22,22,,-
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,140,RP55,10279157,,06/14/2022,92526404/08 6OZ,14062292526404/08 6OZ,O72EAA8869,05/27/2022,05/27/2023,06/15/2022,20012,HENKEL KOREA LTD.,0,0,0,0,20,20,,-
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,140,RP55,10279172,,06/14/2022,92526404/09 6OZ,14062292526404/09 6OZ,O72EAA8870,05/27/2022,05/27/2023,06/15/2022,20012,HENKEL KOREA LTD.,0,0,0,0,10,10,,-
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,140,DA02,12096896,,07/09/2024,196679303/09 (6OZ),090724196679303/09 (6OZ),1B4GAA6164,07/04/2024,07/04/2025,07/10/2024,20012,HENKEL KOREA LTD.,0,15,0,15,0,15,,
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,130,DC04,12103858,,07/13/2024,196681696/01 (6OZ),130724196681696/01 (6OZ),1B4GAB6165,07/04/2024,07/04/2025,07/13/2024,20012,HENKEL KOREA LTD.,0,6,0,6,0,6,,
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,130,DC04,12103859,,07/13/2024,196681696/02 (6OZ),130724196681696/02 (6OZ),1B4GAA6166,07/05/2024,07/05/2025,07/13/2024,20012,HENKEL KOREA LTD.,0,22,0,22,0,22,,
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,130,DC04,12103860,,07/13/2024,196681696/03 (6OZ),130724196681696/03 (6OZ),1B4GAA6167,07/05/2024,07/05/2025,07/13/2024,20012,HENKEL KOREA LTD.,0,23,0,23,0,23,,
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,120,DR09,12103861,,07/13/2024,196681696/04 (6OZ),130724196681696/04 (6OZ),1B4GAA6175,07/09/2024,07/09/2025,07/13/2024,20012,HENKEL KOREA LTD.,0,2,0,2,0,2,,
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,120,DR09,12103864,,07/13/2024,196681696/05 (6OZ),130724196681696/05 (6OZ),1B4GAA6174,07/09/2024,07/09/2025,07/13/2024,20012,HENKEL KOREA LTD.,0,22,0,22,0,22,,
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,130,DC02,12231168,-,09/11/2024,196719251/05 (6OZ),110924196719251/05 (6OZ),1B4GAB6175,07/09/2024,07/09/2025,09/12/2024,20012,HENKEL KOREA LTD.,0,20,0,20,0,20,,-
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,130,DC02,12231169,-,09/11/2024,196719251/06 (6OZ),110924196719251/06 (6OZ),1B4HAA4621,08/28/2024,08/28/2025,09/12/2024,20012,HENKEL KOREA LTD.,0,6,0,6,0,6,,-
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,130,DC02,12231172,-,09/11/2024,196719251/07 (6OZ),110924196719251/07 (6OZ),1B4HAA4620,08/28/2024,08/28/2025,09/12/2024,20012,HENKEL KOREA LTD.,0,23,0,23,0,23,,-
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,130,DC04,12301644,,10/16/2024,196741100/02 (6OZ),161024196741100/02 (6OZ),1B4HAB4621,08/28/2024,08/28/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,14,0,14,0,14,,
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,120,DR06,12301645,,10/16/2024,196741100/03 (6OZ),161024196741100/03 (6OZ),1B4JAA8228,09/30/2024,09/30/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,23,0,23,0,23,,
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,130,DC04,12301646,,10/16/2024,196741100/04 (6OZ),161024196741100/04 (6OZ),1B4JAA8231,09/30/2024,09/30/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,23,0,23,0,23,,
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,130,DC04,12301647,,10/16/2024,196741100/05 (6OZ),161024196741100/05 (6OZ),1B4JAA8227,09/30/2024,09/30/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,23,0,23,0,23,,
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,130,DC04,12301660,,10/16/2024,196741100/06 (6OZ),161024196741100/06 (6OZ),1B4JAA8232,09/30/2024,09/30/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,24,0,24,0,24,,
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,130,DC04,12301651,,10/16/2024,196741100/07 (6OZ),161024196741100/07 (6OZ),1B4KAA8233,10/02/2024,10/02/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,16,0,16,0,16,,
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,130,DC04,12301653,,10/16/2024,196741100/08 (6OZ),161024196741100/08 (6OZ),1B4KAA8229,10/02/2024,10/02/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,23,0,23,0,23,,
,PZ0037-UTL,PZ0037,UTL,ABLECOAT 8006NS ( 6 oz.),8006NS,28,120,DR04,12301655,,10/16/2024,196741100/09 (6OZ),161024196741100/09 (6OZ),1B4KAA8230,10/02/2024,10/02/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,23,0,23,0,23,,
,PZ0039-MUR,PZ0039,MUR,ABLEFLEX( RP-253-9B) 8006NSB,(RP-253-9B) 8006NSB,,120,DR03,12319435,,10/24/2024,196747556/01 (30C),241024196747556/01 (30C),1B4EAE4973,05/13/2024,05/13/2025,10/25/2024,20012,HENKEL KOREA LTD.,0,3,0,3,0,3,,-
,PZ0039-MUR,PZ0039,MUR,ABLEFLEX( RP-253-9B) 8006NSB,(RP-253-9B) 8006NSB,,140,DA02,12319435,,10/24/2024,196747556/01 (30C),241024196747556/01 (30C),1B4EAE4973,05/13/2024,05/13/2025,10/25/2024,20012,HENKEL KOREA LTD.,0,3,0,3,0,3,,-
,PZ0039-UTL,PZ0039,UTL,ABLEFLEX( RP-253-9B) 8006NSB,(RP-253-9B) 8006NSB,,120,RP99,10728248,,11/22/2022,92677794/01 (30C),22112292677794/01 (30C),1B2LAA7778PCN,11/14/2022,11/14/2023,11/23/2022,20012,HENKEL KOREA LTD.,0,0,0,0,2,2,,
,PZ0039-UTL,PZ0039,UTL,ABLEFLEX( RP-253-9B) 8006NSB,(RP-253-9B) 8006NSB,,140,RP55,11166663,,05/16/2023,92800595/05,16052392800595/05,1B3EAA9997,05/03/2023,05/02/2024,05/16/2023,20012,HENKEL KOREA LTD.,0,0,0,0,8,8,,
,PZ0039-UTL,PZ0039,UTL,ABLEFLEX( RP-253-9B) 8006NSB,(RP-253-9B) 8006NSB,,140,RP55,11292931,,07/04/2023,92834985/02 (30 CC),04072392834985/02 (30 CC),1B3EAC9997,05/03/2023,05/02/2024,07/05/2023,20012,HENKEL KOREA LTD.,0,0,0,0,1,1,,-
,PZ0039-UTL,PZ0039,UTL,ABLEFLEX( RP-253-9B) 8006NSB,(RP-253-9B) 8006NSB,,120,RP99,11371075,,08/01/2023,92852648/04 (30 CC),01082392852648/04 (30 CC),1B3EAD9997,05/03/2023,05/02/2024,08/02/2023,20012,HENKEL KOREA LTD.,0,0,0,0,14,14,,-
,PZ0039-UTL,PZ0039,UTL,ABLEFLEX( RP-253-9B) 8006NSB,(RP-253-9B) 8006NSB,,140,RP55,11943961,,08/01/2023,92852648/04 (30 CC),01082392852648/04 (30 CC),1B3EAD9997,05/03/2023,06/02/2024,08/02/2023,20012,HENKEL KOREA LTD.,0,0,0,0,14,14,,-
,PZ0039-UTL,PZ0039,UTL,ABLEFLEX( RP-253-9B) 8006NSB,(RP-253-9B) 8006NSB,,140,DA02,12253158,,09/21/2024,196723558/01,210924196723558/01,1B4EAC4973,05/13/2024,05/13/2025,09/22/2024,20012,HENKEL KOREA LTD.,0,1,0,1,0,1,,-
,PZ0042-SC9,PZ0042,SC9,Die attach film non-conductive type,NEX-130CT NONCON,,130,DC45,12070511,,06/28/2024,T240002324/08 (25SH),280624T240002324/08 (25SH),461108M5,05/23/2024,05/22/2025,06/28/2024,20062,"Furukawa Electric Co.,Ltd.",0,1,0,1,0,1,,-
,PZ0042-SC9,PZ0042,SC9,Die attach film non-conductive type,NEX-130CT NONCON,,120,DC57,12070513,,06/28/2024,T240002324/09 (25SH),280624T240002324/09 (25SH),461109M5,05/23/2024,05/22/2025,06/28/2024,20062,"Furukawa Electric Co.,Ltd.",0,1,0,1,0,1,,-
,PZ0042-SC9,PZ0042,SC9,Die attach film non-conductive type,NEX-130CT NONCON,,120,DC57,12070517,,06/28/2024,T240002324/10 (25SH),280624T240002324/10 (25SH),461110M5,05/23/2024,05/22/2025,06/28/2024,20062,"Furukawa Electric Co.,Ltd.",0,1,0,1,0,1,,-
,PZ0042-SC9,PZ0042,SC9,Die attach film non-conductive type,NEX-130CT NONCON,,120,DC57,12070518,,06/28/2024,T240002324/11 (25SH),280624T240002324/11 (25SH),461111M5,05/23/2024,05/22/2025,06/28/2024,20062,"Furukawa Electric Co.,Ltd.",0,1,0,1,0,1,,-
,PZ0042-SC9,PZ0042,SC9,Die attach film non-conductive type,NEX-130CT NONCON,,120,DC57,12070519,,06/28/2024,T240002324/12 (25SH),280624T240002324/12 (25SH),461112M5,05/23/2024,05/22/2025,06/28/2024,20062,"Furukawa Electric Co.,Ltd.",0,1,0,1,0,1,,-
,PZ0042-SC9,PZ0042,SC9,Die attach film non-conductive type,NEX-130CT NONCON,,120,DC57,12070521,,06/28/2024,T240002324/13 (25SH),280624T240002324/13 (25SH),461113M5,05/23/2024,05/22/2025,06/28/2024,20062,"Furukawa Electric Co.,Ltd.",0,1,0,1,0,1,,-
,PZ0042-SC9,PZ0042,SC9,Die attach film non-conductive type,NEX-130CT NONCON,,120,DC57,12070522,,06/28/2024,T240002324/14 (25SH),280624T240002324/14 (25SH),461114M5,05/23/2024,05/22/2025,06/28/2024,20062,"Furukawa Electric Co.,Ltd.",0,1,0,1,0,1,,-
,PZ0042-STM,PZ0042,STM,Die attach film non-conductive type,NEX-130CT NONCON,,140,RP61,11058995,,03/30/2023,T220012343/02 (25SH),300323T220012343/02 (25SH),331502M5,01/27/2023,01/27/2024,03/30/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,1
,PZ0042-STM,PZ0042,STM,Die attach film non-conductive type,NEX-130CT NONCON,,120,RP57,11059006,,03/30/2023,T220012343/06 (25SH),300323T220012343/06 (25SH),331506M5,01/27/2023,01/27/2024,03/30/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,1
,PZ0042-STM,PZ0042,STM,Die attach film non-conductive type,NEX-130CT NONCON,,120,RP57,11059007,,03/30/2023,T220012343/07 (25SH),300323T220012343/07 (25SH),331507M5,01/27/2023,01/27/2024,03/30/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,1
,PZ0042-STM,PZ0042,STM,Die attach film non-conductive type,NEX-130CT NONCON,,120,RP57,11059009,,03/30/2023,T220012343/08 (25SH),300323T220012343/08 (25SH),331508M5,01/27/2023,01/27/2024,03/30/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,1
,PZ0042-STM,PZ0042,STM,Die attach film non-conductive type,NEX-130CT NONCON,,120,RP57,11059010,,03/30/2023,T220012343/09 (25SH),300323T220012343/09 (25SH),331509M5,01/27/2023,01/27/2024,03/30/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,1
,PZ0042-UTL,PZ0042,UTL,Die attach film non-conductive type,NEX-130CT NONCON,,130,RP01,8412719,,05/29/2020,S2005144/02 (25M),290520S2005144/02 (25M),041013M5,01/31/2020,01/30/2021,05/30/2020,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,
,PZ0042-UTL,PZ0042,UTL,Die attach film non-conductive type,NEX-130CT NONCON,,130,RP02,11124923,,04/28/2023,T230000115/05 (25M),280423T230000115/05 (25M),340604M5,01/27/2023,01/26/2024,04/29/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,1
,PZ0042-UTL,PZ0042,UTL,Die attach film non-conductive type,NEX-130CT NONCON,,130,RP02,11124930,,04/28/2023,T230000115/06 (25M),280423T230000115/06 (25M),340605M5,01/27/2023,01/26/2024,04/29/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,1
,PZ0042-UTL,PZ0042,UTL,Die attach film non-conductive type,NEX-130CT NONCON,,130,RP03,11124975,,04/28/2023,T230000115/09 (25M),280423T230000115/09 (25M),340608M5,03/17/2023,03/16/2024,04/29/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,1
,PZ0042-UTL,PZ0042,UTL,Die attach film non-conductive type,NEX-130CT NONCON,,120,RP57,11392595,,08/10/2023,T230004205/05,100823T230004205/05,372603M5,03/17/2023,03/16/2024,08/10/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,
,PZ0042-UTL,PZ0042,UTL,Die attach film non-conductive type,NEX-130CT NONCON,,120,RP57,11392597,,08/10/2023,T230004205/06,100823T230004205/06,372604M5,03/17/2023,03/16/2024,08/10/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,
,PZ0042-UTL,PZ0042,UTL,Die attach film non-conductive type,NEX-130CT NONCON,,120,RP57,11392598,,08/10/2023,T230004205/07,100823T230004205/07,372605M5,03/17/2023,03/16/2024,08/10/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,
,PZ0042-UTL,PZ0042,UTL,Die attach film non-conductive type,NEX-130CT NONCON,,120,RP57,11392603,,08/10/2023,T230004205/08,100823T230004205/08,372606M5,03/17/2023,03/16/2024,08/10/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,
,PZ0042-UTL,PZ0042,UTL,Die attach film non-conductive type,NEX-130CT NONCON,,120,RP57,11392606,,08/10/2023,T230004205/09,100823T230004205/09,372607M5,03/17/2023,03/16/2024,08/10/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,
,PZ0042-UTL,PZ0042,UTL,Die attach film non-conductive type,NEX-130CT NONCON,,120,RP57,11392609,,08/10/2023,T230004205/10,100823T230004205/10,372608M5,03/17/2023,03/16/2024,08/10/2023,20062,"Furukawa Electric Co.,Ltd.",0,0,0,0,1,1,,
,PZ0044-MUR,PZ0044,MUR,ABLEBOND 8387B ( 5CC ),ABLEBOND 8387B,,120,RP99,11184586,,05/23/2023,1115663973/01 (5CC),2305231115663973/01 (5CC),043EAH9474,05/16/2023,05/15/2024,05/23/2023,20067,HENKEL CORPORATION,0,0,0,0,59,59,,1
,PZ0044-MUR,PZ0044,MUR,ABLEBOND 8387B ( 5CC ),ABLEBOND 8387B,,120,RP99,11941373,,05/07/2024,1117682278/01 (3CC),0705241117682278/01 (3CC),043LAK7601,12/05/2023,12/04/2024,05/07/2024,20067,HENKEL CORPORATION,0,0,0,0,65,65,,-
,PZ0044-UTL,PZ0044,UTL,ABLEBOND 8387B ( 5CC ),ABLEBOND 8387B,,120,RP99,10569947,,11/08/2021,1111751913/02 (3CC),0811211111751913/02 (3CC),041KAD7911,10/07/2021,10/07/2022,11/09/2021,20067,HENKEL CORPORATION,0,0,0,0,38,38,,-
,PZ0044-UTL,PZ0044,UTL,ABLEBOND 8387B ( 5CC ),ABLEBOND 8387B,,120,RP99,10569948,,12/06/2021,1111970910/04 (3CC),0612211111970910/04 (3CC),041KAG7911,10/07/2021,10/07/2022,12/07/2021,20067,HENKEL CORPORATION,0,0,0,0,101,101,,-
,PZ0044-UTL,PZ0044,UTL,ABLEBOND 8387B ( 5CC ),ABLEBOND 8387B,,120,RP99,10569949,,02/14/2022,1112461146/01 (3CC),1402221112461146/01 (3CC),041MAI4721,12/14/2021,03/14/2023,02/15/2022,20067,HENKEL CORPORATION,0,0,0,0,85,85,,-
,PZ0044-UTL,PZ0044,UTL,ABLEBOND 8387B ( 5CC ),ABLEBOND 8387B,,120,RP99,11054535,,03/28/2023,1115326230/01 (3CC),2803231115326230/01 (3CC),043BAC6250PCN,02/23/2023,02/23/2024,03/29/2023,20067,HENKEL CORPORATION,0,0,0,0,45,45,,-
,PZ0048-MXM,PZ0048,MXM,Pb free Solder Paste : SAC305-NC-SM,SAC305-NC-SMQ230,,120,RP57,12003377,,05/29/2024,INM124050103/01,290524INM124050103/01,PMA1363,05/23/2024,11/19/2024,05/29/2024,10076,FUSION ADVANTEC COMPANY LIMITED,0,0,0,0,2,2,,-
,PZ0048-MXM,PZ0048,MXM,Pb free Solder Paste : SAC305-NC-SM,SAC305-NC-SMQ230,,130,RP01,12003377,,05/29/2024,INM124050103/01,290524INM124050103/01,PMA1363,05/23/2024,11/19/2024,05/29/2024,10076,FUSION ADVANTEC COMPANY LIMITED,0,0,0,0,1,1,,-
,PZ0048-MXM,PZ0048,MXM,Pb free Solder Paste : SAC305-NC-SM,SAC305-NC-SMQ230,,120,DC64,12334501,,11/04/2024,INM124110017/01,041124INM124110017/01,PMA1889,10/15/2024,04/15/2025,11/04/2024,10076,FUSION ADVANTEC COMPANY LIMITED,0,8,0,8,0,8,,
,PZ0048-MXM,PZ0048,MXM,Pb free Solder Paste : SAC305-NC-SM,SAC305-NC-SMQ230,,130,DC45,12334501,,11/04/2024,INM124110017/01,041124INM124110017/01,PMA1889,10/15/2024,04/15/2025,11/04/2024,10076,FUSION ADVANTEC COMPANY LIMITED,0,7,0,7,0,7,,
,PZ0057-MXM,PZ0057,MXM,Pb free Solder Paste,V347 3-5LFH02-F,,130,DC45,12291848,,10/10/2024,A160/2024/01 (250G),101024A160/2024/01 (250G),LFPO40131A,09/30/2024,03/29/2025,10/10/2024,20032,SINGAPORE ASAHI CHEMICAL & SOLDER,0,2,0,2,0,2,,
,PZ0057-MXM,PZ0057,MXM,Pb free Solder Paste,V347 3-5LFH02-F,,130,DC45,12327698,,10/29/2024,A185/2024/01,291024A185/2024/01,LFPO40152A,10/23/2024,04/22/2025,10/29/2024,20032,SINGAPORE ASAHI CHEMICAL & SOLDER,0,15,0,15,0,15,,
,PZ0058-ADI,PZ0058,ADI,8008HT,8008HT,,130,RP22,12146951,,05/09/2023,92794858/01 (5CC),09052392794858/01 (5CC),1B3CAE7541,03/24/2023,03/23/2024,05/09/2023,20012,HENKEL KOREA LTD.,0,0,0,0,45,45,,2
,PZ0058-ADI,PZ0058,ADI,8008HT,8008HT,,140,RP55,12146929,,11/03/2023,92912181/03 (5CC),03112392912181/03 (5CC),1B3KAB8560,10/11/2023,10/10/2024,11/04/2023,20012,HENKEL KOREA LTD.,0,0,0,0,50,50,,-
,PZ0058-ADI,PZ0058,ADI,8008HT,8008HT,,140,DA02,12229206,-,09/10/2024,196719100/02 (5CC),100924196719100/02 (5CC),1B4HAA4703,08/29/2024,08/29/2025,09/11/2024,20012,HENKEL KOREA LTD.,0,40,0,40,0,40,,-
,PZ0058-ADI,PZ0058,ADI,8008HT,8008HT,,140,DA02,12301597,,10/15/2024,196741235/03 (5CC),151024196741235/03 (5CC),1B4HAC4703,08/29/2024,08/29/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,32,0,32,0,32,,-
,PZ0058-ADI,PZ0058,ADI,8008HT,8008HT,,120,DR04,12301599,,10/15/2024,196741235/04 (5CC),151024196741235/04 (5CC),1B4KAA0922,10/02/2024,10/02/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,157,0,157,0,157,,-
,PZ0058-ADI,PZ0058,ADI,8008HT,8008HT,,140,DA02,12301599,,10/15/2024,196741235/04 (5CC),151024196741235/04 (5CC),1B4KAA0922,10/02/2024,10/02/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,50,0,50,0,50,,-
,PZ0063-ADI,PZ0063,ADI,QMI529HT-LV Conductive dispense,QMI529HT-LV,,140,DA02,12356711,,11/13/2024,196759333/01,131124196759333/01,1B4LAC9833,11/05/2024,11/05/2025,11/13/2024,20012,HENKEL KOREA LTD.,0,33,0,33,0,33,,
,PZ0063-ADI,PZ0063,ADI,QMI529HT-LV Conductive dispense,QMI529HT-LV,,130,DC04,12356711,,11/13/2024,196759333/01,131124196759333/01,1B4LAC9833,11/05/2024,11/05/2025,11/13/2024,20012,HENKEL KOREA LTD.,0,18,0,18,0,18,,
,PZ0063-ADI,PZ0063,ADI,QMI529HT-LV Conductive dispense,QMI529HT-LV,,120,DR09,12356711,,11/13/2024,196759333/01,131124196759333/01,1B4LAC9833,11/05/2024,11/05/2025,11/13/2024,20012,HENKEL KOREA LTD.,0,29,0,29,0,29,,
,PZ0065-UTL,PZ0065,UTL,QMI 536HT,QMI 536HT,,140,RP55,8286256,,04/15/2020,98613129/02,15042098613129/02,O80DAB9968,04/03/2020,04/03/2021,04/15/2020,20055,ABLESTIK (SHANGHAI) LTD,0,0,0,0,26,26,,
,PZ0066-DSC,PZ0066,DSC,YizBond-8511,YIZBOND-8511,,140,DA02,12186805,-,08/21/2024,22500422/02 (5CC),21082422500422/02 (5CC),24080705,08/07/2024,02/06/2025,08/22/2024,20009,KETECA SINGAPORE (PTE) LTD,0,50,0,50,0,50,,-
,PZ0067-UTL,PZ0067,UTL,Die attach flim non-conductive type,FH-SC13-25,,140,RP61,11119611,,04/27/2023,B230417013/01,270423B230417013/01,Z2905AA,09/05/2022,09/05/2023,04/27/2023,10227,Resonac Materials (Thailand) Co. Lt,0,0,0,0,1,1,,
,PZ0067-UTL,PZ0067,UTL,Die attach flim non-conductive type,FH-SC13-25,,140,RP61,10221987,,05/26/2022,B220516016/02,260522B220516016/02,Z2327AA,03/27/2022,10/05/2023,05/27/2022,10145,HITACHI CHEMICAL ASIA (THAILAND) CO,0,0,0,0,46,46,,
,PZ0067-UTL,PZ0067,UTL,Die attach flim non-conductive type,FH-SC13-25,,140,RP61,10261984,,06/09/2022,B220530005/01,090622B220530005/01,Z2327AA,03/27/2022,10/05/2023,06/09/2022,10145,HITACHI CHEMICAL ASIA (THAILAND) CO,0,0,0,0,24,24,,-
,PZ0067-UTL,PZ0067,UTL,Die attach flim non-conductive type,FH-SC13-25,,140,RP61,10282545,,06/16/2022,B220606017/01,160622B220606017/01,Z2410AA,04/10/2022,10/05/2023,06/16/2022,10145,HITACHI CHEMICAL ASIA (THAILAND) CO,0,0,0,0,11,11,,-
,PZ0067-UTL,PZ0067,UTL,Die attach flim non-conductive type,FH-SC13-25,,130,RP05,10282545,,06/16/2022,B220606017/01,160622B220606017/01,Z2410AA,04/10/2022,10/05/2023,06/16/2022,10145,HITACHI CHEMICAL ASIA (THAILAND) CO,0,0,0,0,5,5,,-
,PZ0067-UTL,PZ0067,UTL,Die attach flim non-conductive type,FH-SC13-25,,120,RP57,10139434,,04/27/2022,B220418012/01,270422B220418012/01,Z2313BA,03/13/2022,01/05/2024,04/28/2022,10145,HITACHI CHEMICAL ASIA (THAILAND) CO,0,0,0,0,8,8,,
,PZ0067-UTL,PZ0067,UTL,Die attach flim non-conductive type,FH-SC13-25,,140,RP61,10206393,,05/20/2022,B220510017/05,200522B220510017/05,Z2313BC,03/13/2022,01/05/2024,05/21/2022,10145,HITACHI CHEMICAL ASIA (THAILAND) CO,0,0,0,0,10,10,,-
,PZ0067-UTL,PZ0067,UTL,Die attach flim non-conductive type,FH-SC13-25,,130,RP01,10206393,,05/20/2022,B220510017/05,200522B220510017/05,Z2313BC,03/13/2022,01/05/2024,05/21/2022,10145,HITACHI CHEMICAL ASIA (THAILAND) CO,0,0,0,0,13,13,,-
