11/13/2024                                                                                                                                                                                                                          Dynamic List Display                                                                                                                                                                                                                                 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTL Direct Material Stock Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Material,Material,Customer,Material description,Size,Unit/Strip,Plant,SLOC,Batch,Extend Shelf life,Number Extend,Revision,Shipment Date,Shipment,Ship No.,X-Out,Vendor Batch,Manu.Date,Shlf.Date,GR.Date,Vendor,Vendor Name,      QI.Qty.,   Unres.Qty., Reserve Qty.,Available Qty.,    Block Qty.,         Total,Remark,AUn,Conversion1,Manufacturer
,CZ0141-UTL,CZ0141,UTL,"G770HCD, 14MMX6.0G",14 MM X 6.0 G,,120,DC41,12335319,,0,,11/6/2024,SBS0241106762/01,061124SBS0241106762/01,,4092748,09/28/2024,03/27/2025,11/6/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,960,0,960,0,960,,KG,1 KG = 1 KG,-
,CZ0141-UTL,CZ0141,UTL,"G770HCD, 14MMX6.0G",14 MM X 6.0 G,,120,DC47,12335321,,0,,11/6/2024,SBS0241106762/02,061124SBS0241106762/02,,4092747,09/28/2024,03/27/2025,11/6/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,540,0,540,0,540,,KG,1 KG = 1 KG,-
,CZ0142-UTL,CZ0142,UTL,"G770HCD, 14MMX6.8G",14 x 6.8 ( for QFN Enlarge frame,,120,DC40,12303443,,0,,10/16/2024,SBS0241106062/01(15KG),161024SBS0241106062/01(15KG),,4082638,08/16/2024,02/15/2025,10/17/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,480,0,480,0,480,,KG,1 KG = 1 KG,
,CZ0142-UTL,CZ0142,UTL,"G770HCD, 14MMX6.8G",14 x 6.8 ( for QFN Enlarge frame,,120,DC42,12315915,,0,,10/23/2024,SBS0241106363/01(15KG),231024SBS0241106363/01(15KG),,4082638,08/16/2024,02/15/2025,10/23/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,75,0,75,0,75,,KG,1 KG = 1 KG,
,CZ0142-UTL,CZ0142,UTL,"G770HCD, 14MMX6.8G",14 x 6.8 ( for QFN Enlarge frame,,120,DC41,12315916,,0,,10/23/2024,SBS0241106363/02(15KG),231024SBS0241106363/02(15KG),,4092746,09/28/2024,03/27/2025,10/23/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,525,0,525,0,525,,KG,1 KG = 1 KG,
,CZ0142-UTL,CZ0142,UTL,"G770HCD, 14MMX6.8G",14 x 6.8 ( for QFN Enlarge frame,,120,DC49,12330801,,0,,10/30/2024,SBS0241106584/01,301024SBS0241106584/01,,4092746,09/28/2024,03/27/2025,10/31/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,"1,200.00",0,"1,200.00",0,"1,200.00",,KG,1 KG = 1 KG,-
,CZ0142-UTL,CZ0142,UTL,"G770HCD, 14MMX6.8G",14 x 6.8 ( for QFN Enlarge frame,,120,DC43,12335324,,0,,11/6/2024,SBS0241106763/01,061124SBS0241106763/01,,4092746,09/28/2024,03/27/2025,11/6/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,315,0,315,0,315,,KG,1 KG = 1 KG,-
,CZ0142-UTL,CZ0142,UTL,"G770HCD, 14MMX6.8G",14 x 6.8 ( for QFN Enlarge frame,,120,DC45,12335325,,0,,11/6/2024,SBS0241106763/02,061124SBS0241106763/02,,4092747,09/28/2024,03/27/2025,11/6/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,525,0,525,0,525,,KG,1 KG = 1 KG,-
,CZ0143-ADI,CZ0143,ADI,"7730LF, 14MMX6.0G","7730LF, 14MM x 6.0G",,120,DC43,12185284,,0,,08/21/2024,SBS0241104232/01(15KG),210824SBS0241104232/01(15KG),,4072694,07/26/2024,01/25/2025,08/21/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,142.5,0,142.5,0,142.5,,KG,1 KG = 1 KG,
,CZ0154-MXM,CZ0154,MXM,"CEL-8240HF10G, 14MMX5.9G",14mm.X5.9g. CEL-8240HF10G,,120,DC43,12268099,,0,,09/28/2024,RMM/409P87/01(15KG),280924RMM/409P87/01(15KG),,492076,9/11/2024,3/10/2025,09/29/2024,10227,Resonac Materials (Thailand) Co. Lt,0,242.5,0,242.5,0,242.5,,KG,1 KG = 1 KG,
